division_name,depot_name,route_code,device_imei,event_location,event_date,speed,ignition_status,gps_status,main_battery_status,vehicle_status,running_status,vehicle_reg_no
DHULE,NANDURBAR,,8.69247E+14,NANDURBAR - Bus Stop,35:34.0,0,0,1,0,AT DWS,locationEvent,MH20BL1952
BEED,BEED,,8.69247E+14,BEED Depot,35:20.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH20BL1609
RATNAGIRI,KHED,,8.62818E+14,"SH104, Khed, Kulaba, Konkan Division, Maharashtra, 415709, India",35:17.0,0,0,1,0,ON ROAD,locationEvent,MH20BL3056
DHULE,NANDURBAR,,8.68997E+14,"Nandurbar, Nandubar, Maharashtra, 425412, India",34:15.0,0,1,1,1,ON ROAD,locationEvent,MH20BL3484
MUMBAI,URAN,,8.62818E+14,"ONGC Uran Refinery, Uran, Kulaba, Raigad, Maharashtra, 400702, India",34:01.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH14BT4479
JALNA,JALNA,,8.69247E+14,"Aurangabad Road, Rahmangunj, Jalna, Maharashtra, 431200, India",33:33.0,0,0,2,1,ON ROAD,"stopEvent,locationEvent",MH09EM9215
KOLHAPUR,KOLHAPUR,,8.67322E+14,"Kolhapur Central Bus Stand, NH166, Shivaji Park, Kolhapur, Maharashtra, 416003, India",32:33.0,0,0,1,0,ON ROAD,locationEvent,MH14BT4872
KOLHAPUR,ICHALKARANJI,,8.68997E+14,SHAHAPUR - Bus Stop,32:24.0,0,0,1,0,ON ROAD,"lowBatteryAlert,locationEvent",MH14BT0326
SOLAPUR,KURDUWADI,,8.69247E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",31:47.0,0,0,1,0,ON ROAD,locationEvent,MH11BL9448
DHULE,NANDURBAR,,8.68997E+14,"SH6, Nandurbar, Nandubar, Maharashtra, 425412, India",31:19.0,0,0,1,0,ON ROAD,locationEvent,MH20BL2494
SATARA,SATARA,,8.68996E+14,"Sadar Bazar, Satara, Maharashtra, 415002, India",29:06.0,0,0,1,0,ON ROAD,"tiltAlert,locationEvent",MH11BL9288
NAGPUR,NAGPUR RURAL 2,,8.62818E+14,"East End Hospital, Central Avenue Road, Gandhi Baug, Nagpur, Maharashtra, 440008, India",28:56.0,0,1,2,1,ON ROAD,locationEvent,MH40AQ6352
THANE,THANE II,,8.67322E+14,THANE CBS - Bus Stop,28:13.0,0,1,1,1,ON ROAD,locationEvent,MH14BT2732
KOLHAPUR,KURANDWAD,,8.62818E+14,KURANDWAD Depot,28:05.0,0,0,1,0,ON ROAD,locationEvent,MH12CH7769
PUNE,BARAMATI,,8.62818E+14,"Baramati Bus Stand, Doctor Ambedakar Putalal Road, Samarth Nagar, Baramati, Pune, Pune District, Maharashtra, India",26:43.0,0,1,1,1,ON ROAD,locationEvent,MH40N8412
SOLAPUR,KURDUWADI,,8.69247E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",26:21.0,0,0,1,1,ON ROAD,locationEvent,MH14BT0793
SATARA,PHALTAN,,8.62818E+14,"Union Bank, Ring Road, MSEB Colony, Phaltan, Satara, Maharashtra, 415523, India",24:53.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH11BL9381
OSMANABAD,OSMANABAD,,8.62818E+14,"Osmanabad, Maharashtra, 413500, India",24:18.0,0,0,1,0,ON ROAD,locationEvent,MH20BL2039
SATARA,DAHIVADI,,8.69247E+14,"SH10;SH69, Dahiwadi, Satara, Maharashtra, 415508, India",23:54.0,51.8,0,1,1,ON ROAD,locationEvent,MH40N9476
RAIGAD,KARJAT,,8.62818E+14,"Karjat, Kulaba, Raigad, Maharashtra, 410201, India",23:53.0,0,0,1,0,ON ROAD,locationEvent,MH14BT2668
NAGPUR,NAGPUR CBS 1,,8.62818E+14,"NH44, Khawasa, Kurai Tahsil, Nagpur, Madhya Pradesh, India",23:50.0,0,1,2,1,ON ROAD,locationEvent,MH40Y5597
KOLHAPUR,KAGAL,,8.62818E+14,"Kagal, Kolhapur, Maharashtra, 416216, India",23:06.0,4.8,0,1,1,ON ROAD,locationEvent,MH12EF6528
THANE,KALYAN,,8.62818E+14,KALYAN Depot,23:04.0,0,0,2,0,ON ROAD,"locationEvent,lowBatteryAlert",MH20BL1485
KOLHAPUR,ICHALKARANJI,,8.68997E+14,SHAHAPUR - Bus Stop,22:04.0,0,0,1,0,ON ROAD,"locationEvent,lowBatteryResetAlert",MH14BT4641
LATUR,LATUR,,8.62818E+14,"NH548B, Khadgaon, Latur, Maharashtra, 413512, India",21:39.0,0,0,2,0,ON ROAD,locationEvent,MH20BL2785
RAIGAD,MURUD,,8.69247E+14,"Murud bus station, Revdanda Murud Road, Murud, Kulaba, Raigad, Maharashtra, 402400, India",21:23.0,0,0,1,1,ON ROAD,locationEvent,MH14BT3896
JALNA,JAFRABAD,,8.69247E+14,"NH965DD, Mandangad, Kulaba, Konkan Division, Maharashtra, 415203, India",20:53.0,0,0,1,1,ON ROAD,"stopEvent,locationEvent",MH13CU7466
SATARA,MAHABALESHWAR,,8.62818E+14,MAHABALESHWAR Depot,20:45.0,0,0,1,1,OFF ROAD,locationEvent,MH14BT3848
THANE,BHIVANDI,,8.62818E+14,"NH848, ??????, Bhiwandi, Thane, Maharashtra, 421302, India",20:17.0,0,0,1,0,ON ROAD,locationEvent,MH20BL1460
LATUR,LATUR,,8.62818E+14,"NH548B, Khadgaon, Latur, Maharashtra, 413512, India",18:50.0,0,0,1,0,ON ROAD,"locationEvent,lowBatteryAlert",MH20BL0245
PUNE,SHIVAJINAGAR,,8.67322E+14,KAPUR HOL - Bus Stop,17:48.0,0,0,1,1,AT DWS,"tiltAlert,locationEvent",MH06S9591
SATARA,PHALTAN,,8.62818E+14,PHALTAN Depot,17:36.0,0,0,1,0,ON ROAD,locationEvent,MH07C7126
